Country,Latitude,Longitude,AuthorFreq,TransFreq
Algeria,28.033886,1.659626,2,0
Australia,-25.274398,133.775136,1,1
Belgium,50.503887,4.469936,2,0
Canada,56.130366,-106.346771,8,28
Denmark,56.26392,9.501785,1,0
Egypt,26.820553,30.802498,196,66
Eritrea,15.179384,39.782334,1,0
France,46.227638,2.213749,10,0
Germany,51.165691,10.451526,3,0
Iraq,33.223191,43.679291,27,1
Israel,31.046051,34.851612,2,4
Jordan,37.09024,-95.712891,17,4
Kuwait,29.31166,47.481766,2,1
Lebanon,33.854721,35.862285,52,10
Libya,26.3351,17.228331,4,1
Morocco,31.791702,-7.09262,37,1
Oman,21.4735329,55.975413,1,0
Palestine,31.952162,35.233154,22,3
Qatar,25.354826,51.183884,7,0
Russia,61.52401,105.318756,1,0
Saudi Arabia,23.885942,45.079162,18,6
Spain,40.463667,-3.74922,5,0
Sudan,12.862807,30.217636,9,2
Switzerland,46.818188,8.227512,5,1
Syria,34.802075,38.996815,27,1
Tunisia,33.886917,9.537499,4,1
United Arab Emirates,23.424076,53.847818,6,3
United Kingdom,55.378051,-3.435973,13,117
United States of America,37.09024,-95.712891,18,235
Yemen,15.552727,48.516388,4,0
Malaysia,4.210484,101.975766,0,1
Scotland,56.4906712,-4.2026458,0,1
South Africa,-30.559482,22.937506,0,8